# Dungeons & Dolphins subclass catalog. Format: Subclass|Parent Class
# SRD 5.2.1
Path of the Berserker|Barbarian
College of Lore|Bard
Life Domain|Cleric
Circle of the Land|Druid
Champion|Fighter
Warrior of the Open Hand|Monk
Oath of Devotion|Paladin
Hunter|Ranger
Thief|Rogue
Draconic Sorcery|Sorcerer
Fiend Patron|Warlock
Evoker|Wizard

# Remaining 2024 core subclass names
Path of the Wild Heart|Barbarian
Path of the World Tree|Barbarian
College of Dance|Bard
College of Valor|Bard
Light Domain|Cleric
Trickery Domain|Cleric
War Domain|Cleric
Circle of the Moon|Druid
Circle of the Sea|Druid
Circle of the Stars|Druid
Battle Master|Fighter
Eldritch Knight|Fighter
Psi Warrior|Fighter
Warrior of Mercy|Monk
Warrior of Shadow|Monk
Warrior of the Elements|Monk
Oath of Glory|Paladin
Oath of the Ancients|Paladin
Oath of Vengeance|Paladin
Beast Master|Ranger
Fey Wanderer|Ranger
Arcane Trickster|Rogue
Assassin|Rogue
Soulknife|Rogue
Aberrant Sorcery|Sorcerer
Clockwork Sorcery|Sorcerer
Wild Magic Sorcery|Sorcerer
Archfey Patron|Warlock
Celestial Patron|Warlock
Great Old One Patron|Warlock
Abjurer|Wizard
Diviner|Wizard
Illusionist|Wizard

# Forgotten Realms: Heroes of Faerun (names only)
College of the Moon|Bard
Knowledge Domain|Cleric
Banneret|Fighter
Oath of the Noble Genies|Paladin
Winter Walker|Ranger
Scion of the Three|Rogue
Spellfire Sorcery|Sorcerer
Bladesinger|Wizard

# Van Richten's Guide to Ravenloft (names only)
College of Spirits|Bard
The Undead|Warlock

# Eberron: Forge of the Artificer (names only)
Alchemist|Artificer
Armorer|Artificer
Artillerist|Artificer
Battle Smith|Artificer
Cartographer|Artificer

# Xanathar's Guide to Everything chapter 1 (names only)
Path of the Ancestral Guardian|Barbarian
Path of the Storm Herald|Barbarian
Path of the Zealot|Barbarian
College of Glamour|Bard
College of Swords|Bard
College of Whispers|Bard
Forge Domain|Cleric
Grave Domain|Cleric
Circle of Dreams|Druid
Circle of the Shepherd|Druid
Arcane Archer|Fighter
Cavalier|Fighter
Samurai|Fighter
Way of the Drunken Master|Monk
Way of the Kensei|Monk
Way of the Sun Soul|Monk
Oath of Conquest|Paladin
Oath of Redemption|Paladin
Gloom Stalker|Ranger
Horizon Walker|Ranger
Monster Slayer|Ranger
Inquisitive|Rogue
Mastermind|Rogue
Scout|Rogue
Swashbuckler|Rogue
Divine Soul|Sorcerer
Shadow Magic|Sorcerer
Storm Sorcery|Sorcerer
The Celestial|Warlock
The Hexblade|Warlock
War Magic|Wizard
