# Deterministic level progression only.
# stable_id|scope|owner|level|kind|value|spell_level|free_casts
# Choice outcomes (subclasses, feats/ASI choices, fighting-style choice, learned-spell choices,
# invocation/metamagic selections, etc.) are intentionally not selected here.
prog-barbarian-rage|class|Barbarian|1|feature|Rage|0|0
prog-barbarian-unarmored-defense|class|Barbarian|1|feature|Unarmored Defense|0|0
prog-barbarian-weapon-mastery|class|Barbarian|1|feature|Weapon Mastery|0|0
prog-barbarian-reckless-attack|class|Barbarian|2|feature|Reckless Attack|0|0
prog-barbarian-danger-sense|class|Barbarian|2|feature|Danger Sense|0|0
prog-barbarian-primal-knowledge|class|Barbarian|3|feature|Primal Knowledge|0|0
prog-barbarian-extra-attack|class|Barbarian|5|feature|Extra Attack|0|0
prog-barbarian-fast-movement|class|Barbarian|5|feature|Fast Movement|0|0
prog-barbarian-feral-instinct|class|Barbarian|7|feature|Feral Instinct|0|0
prog-barbarian-instinctive-pounce|class|Barbarian|7|feature|Instinctive Pounce|0|0
prog-barbarian-brutal-strike|class|Barbarian|9|feature|Brutal Strike|0|0
prog-barbarian-relentless-rage|class|Barbarian|11|feature|Relentless Rage|0|0
prog-barbarian-improved-brutal-strike|class|Barbarian|13|feature|Improved Brutal Strike|0|0
prog-barbarian-persistent-rage|class|Barbarian|15|feature|Persistent Rage|0|0
prog-barbarian-indomitable-might|class|Barbarian|18|feature|Indomitable Might|0|0
prog-barbarian-primal-champion|class|Barbarian|20|feature|Primal Champion|0|0
prog-bard-bardic-inspiration|class|Bard|1|feature|Bardic Inspiration|0|0
prog-bard-spellcasting|class|Bard|1|feature|Spellcasting|0|0
prog-bard-expertise|class|Bard|2|feature|Expertise|0|0
prog-bard-jack-of-all-trades|class|Bard|2|feature|Jack of All Trades|0|0
prog-bard-font-of-inspiration|class|Bard|5|feature|Font of Inspiration|0|0
prog-bard-countercharm|class|Bard|7|feature|Countercharm|0|0
prog-bard-magical-secrets|class|Bard|10|feature|Magical Secrets|0|0
prog-bard-superior-inspiration|class|Bard|18|feature|Superior Inspiration|0|0
prog-bard-words-of-creation|class|Bard|20|feature|Words of Creation|0|0
prog-cleric-spellcasting|class|Cleric|1|feature|Spellcasting|0|0
prog-cleric-divine-order|class|Cleric|1|feature|Divine Order|0|0
prog-cleric-channel-divinity|class|Cleric|2|feature|Channel Divinity|0|0
prog-cleric-sear-undead|class|Cleric|5|feature|Sear Undead|0|0
prog-cleric-blessed-strikes|class|Cleric|7|feature|Blessed Strikes|0|0
prog-cleric-divine-intervention|class|Cleric|10|feature|Divine Intervention|0|0
prog-cleric-improved-blessed-strikes|class|Cleric|14|feature|Improved Blessed Strikes|0|0
prog-cleric-greater-divine-intervention|class|Cleric|20|feature|Greater Divine Intervention|0|0
prog-druid-druidic|class|Druid|1|feature|Druidic|0|0
prog-druid-spellcasting|class|Druid|1|feature|Spellcasting|0|0
prog-druid-primal-order|class|Druid|1|feature|Primal Order|0|0
prog-druid-speak-with-animals|class|Druid|1|spell|Speak with Animals|1|0
prog-druid-wild-shape|class|Druid|2|feature|Wild Shape|0|0
prog-druid-wild-companion|class|Druid|2|feature|Wild Companion|0|0
prog-druid-wild-resurgence|class|Druid|5|feature|Wild Resurgence|0|0
prog-druid-elemental-fury|class|Druid|7|feature|Elemental Fury|0|0
prog-druid-improved-elemental-fury|class|Druid|15|feature|Improved Elemental Fury|0|0
prog-druid-beast-spells|class|Druid|18|feature|Beast Spells|0|0
prog-druid-archdruid|class|Druid|20|feature|Archdruid|0|0
prog-fighter-second-wind|class|Fighter|1|feature|Second Wind|0|0
prog-fighter-fighting-style|class|Fighter|1|feature|Fighting Style|0|0
prog-fighter-weapon-mastery|class|Fighter|1|feature|Weapon Mastery|0|0
prog-fighter-action-surge|class|Fighter|2|feature|Action Surge|0|0
prog-fighter-tactical-mind|class|Fighter|2|feature|Tactical Mind|0|0
prog-fighter-extra-attack|class|Fighter|5|feature|Extra Attack|0|0
prog-fighter-tactical-shift|class|Fighter|5|feature|Tactical Shift|0|0
prog-fighter-indomitable|class|Fighter|9|feature|Indomitable|0|0
prog-fighter-tactical-master|class|Fighter|9|feature|Tactical Master|0|0
prog-fighter-studied-attacks|class|Fighter|13|feature|Studied Attacks|0|0
prog-fighter-two-extra-attacks|class|Fighter|11|feature|Two Extra Attacks|0|0
prog-fighter-three-extra-attacks|class|Fighter|20|feature|Three Extra Attacks|0|0
prog-monk-martial-arts|class|Monk|1|feature|Martial Arts|0|0
prog-monk-unarmored-defense|class|Monk|1|feature|Unarmored Defense|0|0
prog-monk-monks-focus|class|Monk|2|feature|Monk's Focus|0|0
prog-monk-unarmored-movement|class|Monk|2|feature|Unarmored Movement|0|0
prog-monk-uncanny-metabolism|class|Monk|2|feature|Uncanny Metabolism|0|0
prog-monk-deflect-attacks|class|Monk|3|feature|Deflect Attacks|0|0
prog-monk-slow-fall|class|Monk|4|feature|Slow Fall|0|0
prog-monk-extra-attack|class|Monk|5|feature|Extra Attack|0|0
prog-monk-stunning-strike|class|Monk|5|feature|Stunning Strike|0|0
prog-monk-empowered-strikes|class|Monk|6|feature|Empowered Strikes|0|0
prog-monk-evasion|class|Monk|7|feature|Evasion|0|0
prog-monk-acrobatic-movement|class|Monk|9|feature|Acrobatic Movement|0|0
prog-monk-heightened-focus|class|Monk|10|feature|Heightened Focus|0|0
prog-monk-self-restoration|class|Monk|10|feature|Self-Restoration|0|0
prog-monk-deflect-energy|class|Monk|13|feature|Deflect Energy|0|0
prog-monk-disciplined-survivor|class|Monk|14|feature|Disciplined Survivor|0|0
prog-monk-perfect-focus|class|Monk|15|feature|Perfect Focus|0|0
prog-monk-superior-defense|class|Monk|18|feature|Superior Defense|0|0
prog-monk-body-and-mind|class|Monk|20|feature|Body and Mind|0|0
prog-paladin-lay-on-hands|class|Paladin|1|feature|Lay on Hands|0|0
prog-paladin-spellcasting|class|Paladin|1|feature|Spellcasting|0|0
prog-paladin-weapon-mastery|class|Paladin|1|feature|Weapon Mastery|0|0
prog-paladin-paladins-smite|class|Paladin|2|feature|Paladin's Smite|0|0
prog-paladin-fighting-style|class|Paladin|2|feature|Fighting Style|0|0
prog-paladin-channel-divinity|class|Paladin|3|feature|Channel Divinity|0|0
prog-paladin-extra-attack|class|Paladin|5|feature|Extra Attack|0|0
prog-paladin-faithful-steed|class|Paladin|5|feature|Faithful Steed|0|0
prog-paladin-find-steed|class|Paladin|5|spell|Find Steed|2|1
prog-paladin-abjure-foes|class|Paladin|9|feature|Abjure Foes|0|0
prog-paladin-divine-smite|class|Paladin|2|spell|Divine Smite|1|1
prog-paladin-aura-protection|class|Paladin|6|feature|Aura of Protection|0|0
prog-paladin-aura-courage|class|Paladin|10|feature|Aura of Courage|0|0
prog-paladin-radiant-strikes|class|Paladin|11|feature|Radiant Strikes|0|0
prog-paladin-restoring-touch|class|Paladin|14|feature|Restoring Touch|0|0
