# Pocket d20 complete SRD 5.2.1 spell catalog.
# Format: Spell|Level|Class, Class
Acid Arrow|2|Wizard
Acid Splash|0|Sorcerer, Wizard
Aid|2|Bard, Cleric, Druid, Paladin, Ranger
Alarm|1|Ranger, Wizard
Alter Self|2|Sorcerer, Wizard
Animal Friendship|1|Bard, Druid, Ranger
Animal Messenger|2|Bard, Druid, Ranger
Animal Shapes|8|Druid
Animate Dead|3|Cleric, Wizard
Animate Objects|5|Bard, Sorcerer, Wizard
Antilife Shell|5|Druid
Antimagic Field|8|Cleric, Wizard
Antipathy/Sympathy|8|Bard, Druid, Wizard
Arcane Eye|4|Wizard
Arcane Hand|5|Sorcerer, Wizard
Arcane Lock|2|Wizard
Arcane Sword|7|Bard, Wizard
Arcanist's Magic Aura|2|Wizard
Astral Projection|9|Cleric, Warlock, Wizard
Augury|2|Cleric, Druid, Wizard
Aura of Life|4|Cleric, Paladin
Awaken|5|Bard, Druid
Bane|1|Bard, Cleric, Warlock
Banishment|4|Cleric, Paladin, Sorcerer, Warlock, Wizard
Barkskin|2|Druid, Ranger
Beacon of Hope|3|Cleric
Befuddlement|8|Bard, Druid, Warlock, Wizard
Bestow Curse|3|Bard, Cleric, Wizard
Black Tentacles|4|Wizard
Blade Barrier|6|Cleric
Bless|1|Cleric, Paladin
Blight|4|Druid, Sorcerer, Warlock, Wizard
Blindness/Deafness|2|Bard, Cleric, Sorcerer, Wizard
Blink|3|Sorcerer, Wizard
Blur|2|Sorcerer, Wizard
Burning Hands|1|Sorcerer, Wizard
Call Lightning|3|Druid
Calm Emotions|2|Bard, Cleric
Chain Lightning|6|Sorcerer, Wizard
Charm Monster|4|Bard, Druid, Sorcerer, Warlock, Wizard
Charm Person|1|Bard, Druid, Sorcerer, Warlock, Wizard
Chill Touch|0|Sorcerer, Warlock, Wizard
Chromatic Orb|1|Sorcerer, Wizard
Circle of Death|6|Sorcerer, Warlock, Wizard
