# Pocket d20 subclass catalog. Format: Subclass|Parent Class
# SRD 5.2.1
Path of the Berserker|Barbarian
College of Lore|Bard
Life Domain|Cleric
Circle of the Land|Druid
Champion|Fighter
Warrior of the Open Hand|Monk
Oath of Devotion|Paladin
Hunter|Ranger
Thief|Rogue
Draconic Sorcery|Sorcerer
Fiend Patron|Warlock
Evoker|Wizard

# Forgotten Realms: Heroes of Faerun (names only)
College of the Moon|Bard
Knowledge Domain|Cleric
Banneret|Fighter
Oath of the Noble Genies|Paladin
Winter Walker|Ranger
Scion of the Three|Rogue
Spellfire Sorcery|Sorcerer
Bladesinger|Wizard

# Van Richten's Guide to Ravenloft (names only)
College of Spirits|Bard
The Undead|Warlock

# Eberron: Forge of the Artificer (names only)
Alchemist|Artificer
Armorer|Artificer
Artillerist|Artificer
Battle Smith|Artificer
Cartographer|Artificer

# Xanathar's Guide to Everything chapter 1 (names only)
Path of the Ancestral Guardian|Barbarian
Path of the Storm Herald|Barbarian
Path of the Zealot|Barbarian
College of Glamour|Bard
College of Swords|Bard
College of Whispers|Bard
Forge Domain|Cleric
Grave Domain|Cleric
Circle of Dreams|Druid
Circle of the Shepherd|Druid
Arcane Archer|Fighter
Cavalier|Fighter
Samurai|Fighter
Way of the Drunken Master|Monk
Way of the Kensei|Monk
Way of the Sun Soul|Monk
Oath of Conquest|Paladin
Oath of Redemption|Paladin
Gloom Stalker|Ranger
Horizon Walker|Ranger
Monster Slayer|Ranger
Inquisitive|Rogue
Mastermind|Rogue
Scout|Rogue
Swashbuckler|Rogue
Divine Soul|Sorcerer
Shadow Magic|Sorcerer
Storm Sorcery|Sorcerer
The Celestial|Warlock
The Hexblade|Warlock
War Magic|Wizard
